"ComputerName";"Connection";"DaysFromUptime";"DateFromLastBootTime";"HourFromLastBootTime";"Name";"Enabled";"State";"Action";"Action_Arguments";"Trigger";"TriggerTypeOfSchedule";"Repetition";"TriggerDayOfWeek";"TriggerDayOfMonth";"LastRunTime";"NextRunTime";"LastTaskResult";"NumberOfMissedRuns";"UserId";"Author";"Path";"Description"
"PPSIBESERV";"Ok";"0";"10/09/2018";"05:00:48";"Adobe Flash Player Updater";"True";"Ready";"C:\Windows\SysWOW64\Macromed\Flash\FlashPlayerUpdateService.exe";;"CalendarTrigger";"Repetition ScheduleByDay";"Tous les 1 Jours";;;"10/09/2018 09:59:59";"10/09/2018 11:00:00";"0";"1";"SYSTEM";"Adobe Systems Incorporated";"\Adobe Flash Player Updater";"Cette tâche permet de tenir à jour votre installation d’Adobe Flash Player afin de profiter des dernières améliorations et des derniers correctifs de sécurité. Si vous désactivez ou supprimez cette tâche, Adobe Flash Player ne sera plus en mesure de sécuriser automatiquement votre ordinateur à l’aide des derniers correctifs de sécurité."
"PPSIBESERV";"Ok";"0";"10/09/2018";"05:00:48";"At1";"True";"Ready";"C:\Program Files\FusionInventory-Agent\fusioninventory-agent.bat";"--force";"TimeTrigger";"";"";;;"18/05/2017 14:09:59";"30/12/1899 00:00:00";"0";"1";"@AtServiceAccount";;"\At1";
"PPSIBESERV";"Ok";"0";"10/09/2018";"05:00:48";"At2";"True";"Ready";"C:\Program Files\FusionInventory-Agent\fusioninventory-agent.bat";"--force";"TimeTrigger";"";"";;;"20/09/2017 12:15:00";"30/12/1899 00:00:00";"0";"0";"@AtServiceAccount";;"\At2";
"PPSIBESERV";"Ok";"0";"10/09/2018";"05:00:48";"At3";"True";"Ready";"C:\Program Files\FusionInventory-Agent\fusioninventory-agent.bat";"--force";"TimeTrigger";"";"";;;"08/11/2017 16:11:00";"30/12/1899 00:00:00";"0";"0";"@AtServiceAccount";;"\At3";
"PPSIBESERV";"Ok";"0";"10/09/2018";"05:00:48";"Espace disque";"False";"Disabled";"C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe";"-noprofile -executionpolicy Unrestricted -file C:\spacediskleft.ps1";"CalendarTrigger";"ScheduleByWeek";"Toutes les 1 semaines";"Monday Tuesday Wednesday Thursday Friday";;"21/07/2017 18:00:00";"30/12/1899 00:00:00";"0";"0";"PPSIBESERV\administrateur";"BERNARD\buenadg";"\Espace disque";"Vérifie l'espace disque de tous les volumes connectée sur ce PC"
"PPSIBESERV";"Ok";"0";"10/09/2018";"05:00:48";"Intel PTT EK Recertification";"True";"Ready";"""C:\Program Files\Intel\iCLS Client\IntelPTTEKRecertification.exe""";;"EventTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-18";"Intel Corporation";"\Intel PTT EK Recertification";
"PPSIBESERV";"Ok";"0";"10/09/2018";"05:00:48";"Vérification tâches planifiées";"False";"Disabled";"C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe";"-noprofile -executionpolicy Unrestricted -file C:\ScheduleTask.ps1";"CalendarTrigger CalendarTrigger CalendarTrigger";"ScheduleByWeek ScheduleByWeek ScheduleByWeek";"Toutes les 1 semaines";"Monday Tuesday Wednesday Thursday Friday";;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"BERNARD\buenadg";"BERNARD\buenadg";"\Vérification tâches planifiées";
"XA-PVS-NI01";"Ok";"1";"09/09/2018";"05:46:41";"At1";"True";"Ready";"C:\Program Files\FusionInventory-Agent\fusioninventory-agent.bat";"--force";"TimeTrigger";"";"";;;"31/03/2016 14:46:00";"30/12/1899 00:00:00";"0";"0";"@AtServiceAccount";;"\At1";
"XA-PVS-NI01";"Ok";"1";"09/09/2018";"05:46:41";"At2";"True";"Ready";"C:\Program Files\FusionInventory-Agent\fusioninventory-agent.bat";"--force";"TimeTrigger";"";"";;;"04/07/2016 09:29:01";"30/12/1899 00:00:00";"0";"0";"@AtServiceAccount";;"\At2";
"XA-PVS-NI01";"Ok";"1";"09/09/2018";"05:46:41";"At3";"True";"Ready";"C:\Program Files\FusionInventory-Agent\fusioninventory-agent.bat";"--force";"TimeTrigger";"";"";;;"18/09/2017 14:22:00";"30/12/1899 00:00:00";"0";"0";"@AtServiceAccount";;"\At3";
